epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,33549.6,1.09551,1.75933,1.24901,0.7438,0.74819,0.76052,0.45168,1.33831,1.82031,1.27485,0.00816514,0.00816514,0.00816514
87,33949.9,1.09729,1.79113,1.24267,0.63473,0.68553,0.68281,0.42827,1.31397,1.80311,1.22808,0.00812468,0.00812468,0.00812468
88,34348.6,1.0931,1.77685,1.25206,0.66578,0.71862,0.73101,0.4502,1.32226,1.78579,1.25986,0.00808389,0.00808389,0.00808389
89,34746.9,1.09259,1.78842,1.24721,0.69577,0.66209,0.71132,0.44573,1.29416,1.70519,1.22359,0.00804277,0.00804277,0.00804277
90,35132.3,1.1198,1.84004,1.25515,0.75342,0.69123,0.75357,0.45248,1.31831,1.7262,1.24077,0.00800131,0.00800131,0.00800131
91,35515.9,1.09834,1.7821,1.23465,0.70832,0.71542,0.75229,0.46627,1.27153,1.70047,1.20323,0.00795954,0.00795954,0.00795954
92,35899.3,1.10262,1.75074,1.24727,0.74369,0.72262,0.77681,0.47593,1.25089,1.67877,1.19363,0.00791744,0.00791744,0.00791744
93,36283.4,1.09143,1.74607,1.23789,0.70695,0.71247,0.75658,0.46738,1.28263,1.75259,1.22797,0.00787503,0.00787503,0.00787503
94,36666.5,1.0909,1.72432,1.23855,0.79424,0.77176,0.80202,0.46423,1.28869,1.69664,1.22524,0.00783231,0.00783231,0.00783231
95,37050.5,1.07435,1.74386,1.22834,0.70906,0.73337,0.75418,0.4613,1.28545,1.69835,1.20335,0.00778929,0.00778929,0.00778929
96,37433.9,1.09135,1.76484,1.2482,0.69525,0.72658,0.74019,0.47129,1.23885,1.71219,1.19207,0.00774596,0.00774596,0.00774596
97,37820.6,1.1044,1.77264,1.24907,0.6293,0.67573,0.72279,0.45507,1.2907,1.81462,1.23929,0.00770234,0.00770234,0.00770234
98,38204.6,1.09365,1.752,1.23678,0.77544,0.74585,0.77263,0.4621,1.26806,1.72143,1.21207,0.00765843,0.00765843,0.00765843
99,38587.8,1.06551,1.70191,1.22405,0.72916,0.73271,0.76029,0.46462,1.30486,1.69424,1.23496,0.00761423,0.00761423,0.00761423
100,38971.3,1.09399,1.76379,1.23834,0.75107,0.68642,0.74878,0.45944,1.27328,1.69369,1.21209,0.00756976,0.00756976,0.00756976
101,39356.8,1.07286,1.71258,1.2315,0.76671,0.68686,0.74617,0.46975,1.28163,1.71137,1.20386,0.007525,0.007525,0.007525
102,39741.2,1.06087,1.70216,1.21985,0.78726,0.81355,0.87005,0.50403,1.23298,1.64949,1.18207,0.00747997,0.00747997,0.00747997
103,40124.2,1.06289,1.6973,1.22306,0.76605,0.74445,0.79248,0.48847,1.23983,1.65749,1.18467,0.00743468,0.00743468,0.00743468
104,40509.2,1.07034,1.72471,1.226,0.81757,0.80029,0.8361,0.48736,1.26123,1.62206,1.1816,0.00738913,0.00738913,0.00738913
105,40892.5,1.07418,1.73,1.23722,0.79155,0.77393,0.79935,0.48477,1.25274,1.67692,1.19362,0.00734332,0.00734332,0.00734332
106,41276.3,1.0516,1.67458,1.21922,0.76794,0.79939,0.7988,0.48013,1.24397,1.64075,1.17632,0.00729725,0.00729725,0.00729725
107,41660.5,1.06253,1.68226,1.21607,0.77866,0.79353,0.82716,0.48954,1.2445,1.62634,1.20095,0.00725094,0.00725094,0.00725094
108,42048,1.0672,1.73493,1.22331,0.80278,0.77622,0.81907,0.48296,1.22844,1.67239,1.18714,0.00720439,0.00720439,0.00720439
109,42430.7,1.05138,1.676,1.22279,0.84851,0.68603,0.75864,0.47417,1.26262,1.68615,1.19156,0.00715761,0.00715761,0.00715761
110,42814.2,1.07439,1.69703,1.22631,0.75396,0.73875,0.77612,0.48742,1.24302,1.64602,1.18059,0.00711059,0.00711059,0.00711059
111,43197.1,1.06108,1.67813,1.21107,0.71466,0.80706,0.80798,0.4851,1.2419,1.7055,1.18992,0.00706335,0.00706335,0.00706335
112,43585.9,1.05423,1.67461,1.22153,0.70113,0.78564,0.82385,0.47128,1.28823,1.66223,1.18796,0.00701588,0.00701588,0.00701588
113,43948.2,1.0497,1.66777,1.2108,0.79409,0.77268,0.8143,0.50213,1.23256,1.59774,1.16778,0.0069682,0.0069682,0.0069682
114,44352.7,1.05193,1.64768,1.20899,0.84171,0.82173,0.87901,0.53095,1.23613,1.65542,1.17404,0.00692031,0.00692031,0.00692031
115,44754.1,1.05945,1.68978,1.20768,0.81288,0.81198,0.84912,0.5098,1.21009,1.61025,1.16435,0.00687222,0.00687222,0.00687222
116,45153,1.05733,1.64832,1.21679,0.77379,0.7812,0.8231,0.50008,1.23657,1.60275,1.1779,0.00682392,0.00682392,0.00682392
117,45554.2,1.05174,1.66229,1.20531,0.86277,0.82438,0.88647,0.51591,1.22737,1.60446,1.16213,0.00677543,0.00677543,0.00677543
118,45953.5,1.04846,1.65119,1.20382,0.80682,0.7775,0.84807,0.48696,1.26243,1.62557,1.17511,0.00672675,0.00672675,0.00672675
119,46354.4,1.03615,1.64183,1.19773,0.83802,0.72472,0.79711,0.48271,1.24016,1.59743,1.16245,0.00667789,0.00667789,0.00667789
120,46755.7,1.03161,1.60567,1.20284,0.85757,0.79101,0.87768,0.51932,1.25965,1.62369,1.181,0.00662885,0.00662885,0.00662885
121,47131.9,1.02791,1.60699,1.1799,0.81785,0.79147,0.85024,0.50152,1.23877,1.59739,1.19683,0.00657963,0.00657963,0.00657963
122,47531.6,1.04723,1.65041,1.20987,0.73738,0.73614,0.78912,0.48607,1.24119,1.62572,1.19241,0.00653025,0.00653025,0.00653025
123,47935.2,1.04038,1.64214,1.19984,0.7552,0.76022,0.80411,0.49992,1.21905,1.61056,1.16322,0.00648071,0.00648071,0.00648071
124,48338.1,1.0283,1.60024,1.18922,0.79205,0.71989,0.79045,0.48903,1.21189,1.54463,1.14415,0.00643101,0.00643101,0.00643101
125,48741.2,1.02515,1.61985,1.20362,0.82611,0.79981,0.86416,0.51148,1.24942,1.62936,1.18083,0.00638115,0.00638115,0.00638115
126,49143.2,1.02047,1.61921,1.20272,0.70184,0.76663,0.77681,0.48025,1.25365,1.63874,1.18656,0.00633115,0.00633115,0.00633115
127,49545.7,1.01867,1.59494,1.19056,0.76201,0.7606,0.81396,0.50075,1.22857,1.58298,1.17205,0.00628101,0.00628101,0.00628101
128,49942.1,1.02963,1.61658,1.19342,0.76212,0.7999,0.83835,0.50769,1.22146,1.64926,1.16817,0.00623074,0.00623074,0.00623074
129,50343.9,1.02651,1.57917,1.1831,0.78846,0.77098,0.80492,0.49978,1.21712,1.57607,1.16911,0.00618034,0.00618034,0.00618034
130,50744.8,1.02355,1.59363,1.19458,0.77696,0.80274,0.82359,0.49499,1.22833,1.57289,1.17897,0.00612981,0.00612981,0.00612981
131,51142.2,1.01977,1.6079,1.19303,0.78655,0.79608,0.81429,0.48771,1.26589,1.59082,1.20809,0.00607916,0.00607916,0.00607916
132,51535.2,1.01801,1.58618,1.18777,0.82583,0.77497,0.86371,0.50358,1.27529,1.61754,1.17647,0.0060284,0.0060284,0.0060284
133,51921.3,1.02029,1.59307,1.19137,0.80112,0.79364,0.82911,0.49731,1.29545,1.59864,1.19058,0.00597754,0.00597754,0.00597754
134,52311.6,1.01653,1.57905,1.1857,0.79846,0.77819,0.82489,0.50933,1.23256,1.58465,1.17259,0.00592657,0.00592657,0.00592657
135,52700.6,1.01949,1.61504,1.19675,0.85165,0.82458,0.87381,0.51621,1.22175,1.55593,1.16024,0.00587551,0.00587551,0.00587551
136,53085.7,1.03044,1.62219,1.19512,0.82102,0.73937,0.81267,0.50099,1.21412,1.52897,1.16145,0.00582435,0.00582435,0.00582435
137,53475.4,1.01498,1.56065,1.18436,0.84513,0.77447,0.86351,0.51908,1.2309,1.56566,1.17204,0.00577311,0.00577311,0.00577311
138,53862.7,1.00615,1.57951,1.1865,0.82206,0.79633,0.86973,0.51663,1.2109,1.54266,1.16597,0.00572179,0.00572179,0.00572179
139,54250.8,1.00214,1.55882,1.17611,0.91072,0.82012,0.90436,0.5414,1.20038,1.53997,1.14338,0.0056704,0.0056704,0.0056704
140,54640.2,1.00027,1.56415,1.18239,0.90598,0.78529,0.86783,0.51721,1.21832,1.57438,1.15861,0.00561894,0.00561894,0.00561894
141,55028.1,1.00442,1.56753,1.17406,0.86308,0.80134,0.8705,0.51814,1.23468,1.57636,1.16499,0.00556742,0.00556742,0.00556742
